"review_title","review_text","review_star","date","author","page"
"Excellent stick for streaming and watch movies and TV shows as well as games apps.","The reason I gave this stick a 5 Stars because it is excellent for streaming your favorite Movies, TV shows, and games. The feature are better and faster for streaming movies and TV shows then a Roku stick because it gives you more ways to stream your favorite movies, TV, and games. The price is worth buying if you want something better to stream your. It is worth it!","5.0 out of 5 stars","Reviewed in the United States on January 18, 2022","Wanda Gaskins",34
"Amazon delivers excellence with their Fire Stick.","Fire Stick provides more apps than you can ever use. The only thing you need is an HDMI port on your TV. Once your TV is set to the Fire Stick HDMI, the provided remote does everything with help from Alexa if you want it. My only regret is that I didn’t do this sooner.","5.0 out of 5 stars","Reviewed in the United States on January 15, 2022","Russ",34
"Better than Roku!","We bought the firestick when we finally became tired of our Roku being unable to connect to our internet for several days every couple of months and giving us poor streaming quality. We plugged in the stick and it immediately connected and the quality is fantastic! We will be purchasing two more for other rooms in the house.","5.0 out of 5 stars","Reviewed in the United States on March 9, 2022","Holly B",34
"Improved","Bought and transferred the old one to spare bedroom. I don't have a 4K television, but this fire stick still improved the picture.","5.0 out of 5 stars","Reviewed in the United States on November 23, 2021","Peggy Townsend",34
"firestick","I use firesticks on my older tvs. They are easy to install and use. I don't use the voice recognition that much, but it seems to be ok when I do. I have no internet disruption due to the firestick.","5.0 out of 5 stars","Reviewed in the United States on May 6, 2022","CAA_LI",34
"Much better than my old Fire TV device!","Totally controls the TV now so I don't have to use two remotes for Fire TV. Voice control works very well and is faster than using the buttons. Very happy with this new Fire Stick 4K. (And it was a lot less expensive than my old one, too!)","5.0 out of 5 stars","Reviewed in the United States on November 10, 2021","slow mover",34
"matched exactly","This item was a great buy because I can sit in my hammock outside and tell the remote to change the channel to what I want to watch without me having to get up------yes I'm lazy!!!!","5.0 out of 5 stars","Reviewed in the United States on May 29, 2022","Amazon Customer",34
"Better","I just replaced a dead older stick. The streaming is far better, especially with Hulu. For some reason, Hulu was bad, but all other services were fine. The new stick fixed that issue too.","5.0 out of 5 stars","Reviewed in the United States on May 4, 2022","Paul Tsa",34
"Just what we needed!","We bought this as a replacement for an older unit. We cancelled our previous tv service and opted to just stream so we lost the volume controls and convenience of just 1 remote. We took care of that all with this and haven’t looked back!","5.0 out of 5 stars","Reviewed in the United States on November 11, 2021","Captain Obvious",35
"If you've not upgraded you Fire TV stick, I recommend checking it out!","I enjoy this upgrade to my fire tv stick & was very impressed with the voice control, and the difference an upgrade made in streaming all of the movies and shows! Also the savings discount Amazon give me to upgrade my device was great!","5.0 out of 5 stars","Reviewed in the United States on March 19, 2022","Bridgette",35
"Amazing 4K Remote!","I upgraded my old FireTvStick for the new FireTvStick4K and OMG! WOW! What a difference in the quality of the pictures colors, depth, sound, etc.! SO happy, I wish I would have done this sooner, LOL!","5.0 out of 5 stars","Reviewed in the United States on June 22, 2022","Mindy",35
"Even works with my weird TV","This remote was able to calibrate with my weird off brand TV. It controls the volume, which I previously needed a second remote to do. And the streaming is great. Would definitely recommend.","5.0 out of 5 stars","Reviewed in the United States on May 25, 2022","Didi",35
"Firestick makes life easier","It's cool. I can press the button and tell Alexa to find a particular movie or event. If it's not available (yet) she makes suggestions of what I might like. It was hard getting used to so few input buttons, but it is just great when I get used to it.","5.0 out of 5 stars","Reviewed in the United States on December 27, 2021","Frank K. Smith",35
"Better than previous","After several years, our first fire stick became dysfunctional, and we replaced with this item. Absolutely love the ease of setup. My favorite part is the ability to use ONE remote for everything!","5.0 out of 5 stars","Reviewed in the United States on April 3, 2022","Cranberry",35
"Lo amo","Vivo en Ecuador y por el momento solo había tenido chrome cast (me compré 2 y me fue muy mal) y roku que me fue súper bien pero solo me dejaba ver Netflix y YouTube. Con fire tv puedo ver todo! Netflix Disney HBO Amazon prime todo <U+0001F64C><U+0001F3FC> Me encanta!","5.0 out of 5 stars","Reviewed in the United States on June 12, 2022","GLA",35
"Works as expected","Quality of stream overall is good, had very few buffering incidents since installing a couple weeks ago, of course the quality reflects the internet connection and ours is so-so. Voice recognition works well. Pretty easy to set up and many many app options for viewing. IMBD, Pluto are pretty good free apps and we went with basic Philo package which Carries pretty much the channels we watch. Cost beats directv and so far, we haven’t regretted getting rid of them at all.","5.0 out of 5 stars","Reviewed in the United States on April 11, 2022","Amazon Customer",35
"Firestick 4K","What a great tool! It allows me to access and launch all my favorite streaming channels and apps and view them on my large screen TV . Simple to hook up. Easy to program, and simple to use.","5.0 out of 5 stars","Reviewed in the United States on April 15, 2022","Mitchell Federman",35
"Easy easy easy and saves you money","Cable has gotten so high so if you want to start streaming this is very easy to install (follow the prompts) and wa la your streaming and saving thousands over the year over cable !","5.0 out of 5 stars","Reviewed in the United States on May 6, 2022","Dawn E. Leever",35
"Opens up possibilites","I can't believe we waiting this long to get this product! It's the best thing to happen to our TV in a very long time! The graphics are sharp and the remote is super-easy to use. If I can learn to use it, so can you!","5.0 out of 5 stars","Reviewed in the United States on December 26, 2021","Kim",36
"Works well","I bought this to replace an old fire stick that was really lagging. I wasn't sure if replacing the fire stick would do anything at all, but it worked like a charm. NO MORE LAGGING!","5.0 out of 5 stars","Reviewed in the United States on May 24, 2022","Alicia Potts",36
"So far so good","So easy to plug in and use. My grandkids love that they can now watch t.v on the older t.v's we had. Absolutely love having access to many choices without paying 100.00 mo. for dish or direct. My sister will be getting when her 2 year contract with dish ends. Money saver for sure with great enjoyment of choices","5.0 out of 5 stars","Reviewed in the United States on February 1, 2022","Tonja steelman",36
"Great replacement unit","This is a great upgrade. I purchased it as a replacement for an older one that failed on me. The technician I worked with to determine that the old one was beyond help was very patient as I attempted to troubleshoot the old one with him. We determined that the old one had some sort of a failure, and since I had to replace it I was given a discount on purchasing this replacement unit. The additional features and hot keys are a nice improvement from the second generation unit I replaced.","5.0 out of 5 stars","Reviewed in the United States on June 3, 2022","Henry Wolert",36
"WORKS GREAT","This is the 4th FIRE stick we've had...all have worked great. We like streaming and this is a good way to do it. I haven't tried the voice recognition or the Alexa yet. But will when my grandson come over to set it up","5.0 out of 5 stars","Reviewed in the United States on December 23, 2021","Gooseview",36
"4k Firestick","Great pricing. Works as it should. Pretty fast boot up and barely any lag when shuffling between apps. I can take anywhere and connect it via WIFI. This is my 4th set to cover all tv’s in my house. Thank you!!","5.0 out of 5 stars","Reviewed in the United States on January 27, 2022","Ruthless671",36
"Nice product. Great price.","We're in a rental property in Florida for two months. Nice place but we were disappointed that we couldn't access various streaming services to which we subscribed on the TV. Someone suggested ordering an Amazon Fire Stick which we did. I was surprised how easily this solved our problem. It was easy to install and it wasn't particularly expensive (we paid only $29.99). I am more than satisfied with this product. Wish I'd know about it earlier.","5.0 out of 5 stars","Reviewed in the United States on February 2, 2022","CDM",36
"Works quite well.","Seems to work quite well.Remote seems to work over the internet does not need to be pointed toward the television. Amazon fire remote also has a volume control that works with my television a nice feature.","5.0 out of 5 stars","Reviewed in the United States on January 14, 2022","Anthony Diodati",36
"Great for non smart TV.","I have an older TV so it isn’t smart but this allows me to do everything I would be able to do on a smart TV. Highly recommend for all streaming services. Plus, easy to setup.","5.0 out of 5 stars","Reviewed in the United States on July 1, 2022","Sean Honsinger",36
"A great device and very easy to use and very reliable!","I have had an Amazon Fire Stick for many years but after a long time it was wearing out. So, I purchased a new generation Fire Stick and oh my goodness it is even better than my old one. I love it!!","5.0 out of 5 stars","Reviewed in the United States on March 6, 2022","Mystery Guru",36
"Nice upgrade for fire stick.","Love the dedicated buttons for Netflix and Hulu. They are always updating these sticks in Useful ways. I don't really notice a chance in video streaming quality, but I like the new enhancements to the remote.","5.0 out of 5 stars","Reviewed in the United States on December 30, 2021","Paris E. Brown",37
"Upgrades are on point!","Had to upgrade my Fire Stick because my first one was starting to drop WiFi connection and was kinda slow. This new model with the newer remote is super fast and the streaming is flawless on all apps.","5.0 out of 5 stars","Reviewed in the United States on February 20, 2022","Orphan45",37
"Just what my dying smart tv needed.","The smart tv functionally on my tv was buggy and failing.we worked with the manufacturer to upgrade and reboot the TV with no luck. Fire TV Stick gave it a second life!","5.0 out of 5 stars","Reviewed in the United States on June 17, 2022","Human",37
"Fast and clear","Great streaming device definitely an upgrade from the standard fire stick,not just for 4k, it is worth getting for a 1080p tv as well, it is faster and more responsive then the standard fire stick.","5.0 out of 5 stars","Reviewed in the United States on March 6, 2022","toms92gp",37
"Worth the cost","fortunately a great way to make an old tv new for streaming. Took a small tv from the bar area in the basement that wasn't being used, and moved it to the kitchen. Nice","5.0 out of 5 stars","Reviewed in the United States on June 7, 2022","Mitch",37
"Wonderful!","This was so easy to set up and use. Worked instantly. I am thrilled! I had an old Apple TV that finally stopped working and this was 1/3 of the price and just as effective. Love it.","5.0 out of 5 stars","Reviewed in the United States on June 30, 2022","Kim Parker",37
"Better than Roku","The Fire stick is way better than Roku imo! Much easier to use, has a lot of good apps, and Alexa is really convenient. Haven't had any problems with it so far. Hopefully it continues and I won't have to throw it in the trash like the roku. I think this is a quality product.","5.0 out of 5 stars","Reviewed in the United States on February 8, 2022","Danielle",37
"great streaming device","My smart TV, a Samsung, started having problems streaming shows from the internet. I solved the problem by installing the Fire TV stick. It's easy to use, and the streaming quality is excellent. Very happy with this purchase.","5.0 out of 5 stars","Reviewed in the United States on February 10, 2022","BruceW",37
"Terrific stream management tool","We also have a Roku, but find the voice search and overall layout of the Fire stick to be quite user-friendly and intuitive. Got a great price. Instant setup. Great quality lightweight service manager.","5.0 out of 5 stars","Reviewed in the United States on March 5, 2022","The Consultant",37
"Love this","Had chrome cast, just switched and we love it, lost my last remote and this comes with one so it worked out well. Extra adapter to use if the connector isn’t good enough the first time around","5.0 out of 5 stars","Reviewed in the United States on April 12, 2022","jessica wiercinski",37
"Way better than Roku","We switched from Roku to the Fire stick and oh my gosh I wish we did it sooner. Our old Roku had internet connectivity issues, lag, picture quality wasn't great, etc. I was impressed how easy this was to set up and it even controls the power and volume on our TV which was awesome since we lost the remote to the TV itself. The TV is old, but the picture comes out sooooo nice. No connectivity issues, no lag, it's been amazing! I residual love the alexa feature <3","5.0 out of 5 stars","Reviewed in the United States on January 14, 2022","Mireya",38
"Love it. Cant live without it","It was very easy to install. I love the extension that came with it. It made it easier to use more plug ins. The price was great and I would recommend this to my friends.","5.0 out of 5 stars","Reviewed in the United States on June 23, 2022","LWJohn",38
"Firestick Works Better than Smart TV!","Our ""smart TV"" was having trouble staying connected to the internet. Buffering allot. So a friend suggested a Firestick or Roku. Connection is much better! What a surprise!","5.0 out of 5 stars","Reviewed in the United States on June 18, 2022","Kindle Customer",38
"Big upgrade from previous models","The new 4K unit is a huge upgrade over the previous unit. It downloads faster, much more responsive, and controls my tv. Easy set up and integration.Time to upgrade all my old firesticks.","5.0 out of 5 stars","Reviewed in the United States on January 15, 2022","L. Tran",38
"Great streaming product.","This is my first attempt to jump into the streaming effort so I took a chance on this product. I was primarily interested in any of the Apple+ streaming services since my Sony Smart TV is able to get everything else, except Apple+. So far it meets my needs and provides everything I was hoping for and more. A great product!","5.0 out of 5 stars","Reviewed in the United States on November 12, 2021","TechDude8",38
"Used to add Vidangel to a Roku Smart TV 50S535.","It works fine - plugged the fire stick into a regular HDMI port (not the ARC port, although that should work also), then from the store in the fire stick I added the downloader app and used it to load Vidangel from the vidangel url. My initial impression is that it works as well if not better than the built in Roku apps. Didn't try the Alexa part yet.","5.0 out of 5 stars","Reviewed in the United States on May 12, 2022","Dennis Lauzon",38
"What a deal!","No cable needed with Fire stock tv. Sometimes Alexa doesn’t clearly hear and sometimes programs are slow to load, but that is more about our internet provider. Overall, we are thrilled with this product","5.0 out of 5 stars","Reviewed in the United States on January 13, 2022","Tammy G.",38
"A great fire stick","My son helped me to connect and download my new fire stick . It was a easy process and I’ve been able to watch some wonderful movies and shows. A great purchase !","5.0 out of 5 stars","Reviewed in the United States on June 7, 2022","Lin",38
"Big fan","I have 3 of these lovely devices and pretty much have nothing to complain about. The set up is easy, it is intuitive and well designed offering a number of options all integrated into the remote.","5.0 out of 5 stars","Reviewed in the United States on March 18, 2022","Meghan",38
"It's saving me money since I quit cable.","The fact that I can watch what I want to watch when I want to watch it and can put anything on hold if I have to leave the room for any reason. I love it and it was so easy to connect.","5.0 out of 5 stars","Reviewed in the United States on April 4, 2022","Audrey",38
"works with Amazon Prime streaming","The Roku streaming device my daughter bought me in 2015 was no longer able to stream Amazon Prime on it so Amazon ran a Black Friday sale on this Roku streaming device and it works! Praise God!! Great device for a Great price!!","5.0 out of 5 stars","Reviewed in the United States on November 22, 2021","Amazon Customer",39
"I should’ve purchased this a long time ago!","The streaming on this is incredibly fast!!! I’ve had an older model for several years and should have replaced it by now.I was definitely impressed by this upgraded 4k version!!I will be purchasing another! -So happy!!!","5.0 out of 5 stars","Reviewed in the United States on January 3, 2022","Amazon Customer",39
"Wonderful Alternative to Cable/Satellite","The Fire TV Stick 4K was easy to install. I am computer literate but no Geek! We are using the Fire Stick in a seldom used guest bedroom in place of a satellite slave unit--so the Fire Stick will pay for itself in a few months. I added content that we can use when we travel, as well.","5.0 out of 5 stars","Reviewed in the United States on June 11, 2022","Deedle",39
"4K fire stick","my new fire stick works better than my old one which was an original. I no longer have problems with picture freezing or sound not in sync with the picture. I'm very happy with it's performance so far.","5.0 out of 5 stars","Reviewed in the United States on January 19, 2022","Stanley P. Liebman",39
"Easy to set up and Easy to use","I am very happy with Fire TV Stick 4K streaming device with latest Alexa Voice Remote. I have been using it for a month now and so far no problems. It was very easy to set up and user friendly. I have a samsung TV that does not get the internet. So I was having to use a HDMI cable to plug into my computer and then plug into my TV to watch streaming on my TV. So now I do not have to do that anymore, I love my Fire TV Stick. I would most definitely tell my friends to buy it.","5.0 out of 5 stars","Reviewed in the United States on May 20, 2022","mary Knapp",39
"I totally love it great buy!!!","I have been debating buy a internet TV device and this Fire stick became available with 50% so I had to buy it and I'm so glad I did. There is so much content to watch on TV I really love it!","5.0 out of 5 stars","Reviewed in the United States on February 22, 2022","Nina",39
"Makes stupid TV smart TV.","Me like it. Makes stupid TV smart TV. You can talk to it and it looks for movies. Me no talk to it becos me don't like other spy on me but you can if you like. Recommends or no your choice. OK, bye!","5.0 out of 5 stars","Reviewed in the United States on January 10, 2022","Neanderthal Speaks",39
"Great streaming device","Everything works great. I did have to run a seperate power cord as I had my old firestick plugged into the back of our tv's usb. When installing the 4k, it wanted to be plugged into a power source.","5.0 out of 5 stars","Reviewed in the United States on February 3, 2022","Loren Miller",39
"Great for adding voice control to your smart TV.","I bought a 71 inch Samsung without realizing that it had no voice command function. I was unaware that I could add a fire stick to a new TV but then I found out I could and it works perfectly.","5.0 out of 5 stars","Reviewed in the United States on February 24, 2022","John C",39
"Seamless Transition","Wonderful device which provided seamless transition from my old Alexa Enabled FireTV Cube once it finally stopped working. I would recommend this to anyone who is looking for a streaming device.","5.0 out of 5 stars","Reviewed in the United States on January 24, 2022","Mychal Jeffries",39
"If you have a 4K TV, you need the FireStick 4K. Netflix charges an extra $3/month to deliver 4K.","As mentioned in the title, you need a 4K firestick if you have a 4K device. Netflix is the exception to the rule in that they charge an additional $3/month to view material in 4K on Netflix. Do not buy an 8k TV until there’s actually any content distributed in 8K.","5.0 out of 5 stars","Reviewed in the United States on November 17, 2021","S. Byrne",40
"It copied living room Fire stick properties to this NEW fire stick automatically..GREAT!","At this great price, I needed this on bedroom TV to check my Alexa linked security cams. Got so much more!With Uber delivering to bedside, we’ve not been outa bed for days! THANKS AMAZON!!","5.0 out of 5 stars","Reviewed in the United States on April 17, 2022","DCH",40
"Great update for older fire tv sticks","I bought this to replace an older Fire TV stick I had bought a few years ago.It was a fantastic surprise to see the quality and speed updates when first using it.Standouts:Quick reaction when navigating (my older Fire Stick had become fairly slow)Easy to set up and switch outVoice NavigationIncluded TV controls (power/volume)","5.0 out of 5 stars","Reviewed in the United States on February 16, 2022","Beau Malroney",40
"A Great Adjustment","After many years of cable service. I have finally decided to give it up! Prices increase every few months and you receive less for your money! It is a different way of viewing television, but it is worth it!","5.0 out of 5 stars","Reviewed in the United States on January 3, 2022","TAINO GRANDMA",40
"Better than sliced bread","Why did we wait so long to get this product? Oh yeah, cable…that’s why. I’m so glad we made the switch. I have no problems to report. Set up was simple and quick. Voice recognition is spot on. Great purchase","5.0 out of 5 stars","Reviewed in the United States on June 2, 2022","Tammie Chambers",40
"Can’t say enough about it","Love my fire stick 4K. I couldn’t live without it. So easy to install. I don’t have a 4K tv but it doesn’t affect anything. Easy to download apps, well made little thing.","5.0 out of 5 stars","Reviewed in the United States on April 15, 2022","Amazon Customer",40
"Excellent Streaming at a Great Price","After working out a few bugs with Apple Streaming, the Fire Stick works great! Especially like the remote. I have the Apple TV streamer, and hate the remote.","5.0 out of 5 stars","Reviewed in the United States on June 11, 2022","Larry V",40
"Those not tech savvy may need help getting started, but its worth it.","We older generation may not be very good at this newer technology. I'm used to cable TV. Turn it on, pick your channel. I had to have my daughter set this up for me. But now that its on, I really like it. I still have my cable because I use it for phone and internet, but I've been able to go back to basic programming and saved some money there. I also love being able to watch episodes of shows that I missed and going back to start at the beginning of a new series I've heard about. Well worth the money.","5.0 out of 5 stars","Reviewed in the United States on January 21, 2022","Deborah J.",40
"Great product","Amazing picture . Wish I got it sooner .it really has an amazingly sharp picture. Well worth the money. It's fast and Everything works great .we are very happy with it .","5.0 out of 5 stars","Reviewed in the United States on May 19, 2022","Amazon Customer",40
"YaY let’s watch something!’n","The streaming quality is awesome with my new fire stick. I love the voice command I can speak any movie or series into the control and it will pull up where I can find it, and if it’s available on any of the apps I already have or if it can be purchased on another system.","5.0 out of 5 stars","Reviewed in the United States on January 18, 2022","Rosanna Rosanna",40
"Stopped almost constant buffering.","I upgraded from my original firestick to this version due to almost constant buffering during watching a program. This new version completely stopped the buffering and is a absolute pleasure to use. I have not yet used Alexa so cannot comment as to that feature. All in all a very worthwhile expenditure of very few dollars!","5.0 out of 5 stars","Reviewed in the United States on January 28, 2022","E. Collom",41
"nice upgrade","I needed to update my firestickso went with this one. Works as advertized. I'm also totally blind so the voiceview accessibility is a plus for me. Thank you amazon for adding voiceview to your products!","5.0 out of 5 stars","Reviewed in the United States on December 28, 2021","Troy Sullivan",41
"Firestick 4k","They are now selling for a higher price and I tried to reorder. No good customer service and when I inquired the representative I spoke to hung up on me. I need someone to contact me","5.0 out of 5 stars","Reviewed in the United States on February 19, 2022","slimlilna54@",41
"Great for streaming and OTA.","Works great for streaming I am also using a recast which works easily with the firestick. I have not had any issues with the firestick and only a single reboot of the recast.","5.0 out of 5 stars","Reviewed in the United States on March 14, 2022","Gregory L Hollon",41
"(Edited) Not ready for prime time - - Alexa on strike","UPDATE 1/16/2022I contacted Amazon customer service about replacing this unit. Before I completed the transaction I decided to try the voice control, which had not worked even with tech support sharing my screen. To my great surprise Alexa is now working. I can only guess that another update remedy the problem. The rest of my review stands as is.I bought the 4K Firestick with Alexa as a Christmas season deal direct from Amazon. As a streaming device this fire stick is acceptable.Pros: It was easy to set up, including integration with my VPN and connectivity to my wifi. Channel selection is very good and streaming is smooth and consistent despite my remote location.Cons:1. The interface, compared with my Roku 3, is a little awkward. Some of that may be due to my not being used to the particular design of the interface. But trying to look at all my installed apps or to even tell which ones are installed and which ones are available is a little clumsy.2. *** Poor history tracking: it does not allow me to return where I left off very well. For instance, I was watching Eureka on Amazon Prime, first season. The title pops up correctly in my recently watched row, but every time I click to play, the interface reverts to season 5 episode 1, and I have to drill down to Seasons... Episodes... figure out which episode I had left off at and select it.3. The screen timeout is abominably short. Every time I go to the bathroom or fix some tea, the screen goes to screensaver and I have to click through and say who's watching the fire stick and go to the channel I was watching and locate the episode. It's a little annoying.4. *** Alexa voice control from the Fire stick remote does not work. I get various error messages on the screen anytime I press the microphone button, all while the screen is telling me different suggestions for using Alexa. I have worked with tech support; they were very accommodating. They have shared my screen. We have updated my fire stick software. We have pressed all combination of different buttons at the same time and restarted the base; I've removed batteries from the remote, all to no avail. I have no voice control on my Alexa Firestick.The Firestick has a lot to recommend it, but this version is not ready for prime time.","3.0 out of 5 stars","Reviewed in the United States on January 3, 2022","D. L. Diehl",41
"This was a replacement yet still a great purchase","My aunt loves these so much. She asked for another one. She uses it every weekend. Although she’s oldschool there’s some options she’d rather not utilize.","5.0 out of 5 stars","Reviewed in the United States on July 3, 2022","MzLittlejohn",41
"Firestick","I have several they are a great experience overall but I had a issue with one? It wouldn’t download or install the update.. Amazon does a fairly Decent job at solving those issues","5.0 out of 5 stars","Reviewed in the United States on April 27, 2022","Lovey47",41
"Easy Setup","I used this on my smart tv to add some platforms ... it's an Android TV (which I know NOTHING about) and I was having difficulties adding apps ... and the Fire Stick made it SO easy!","5.0 out of 5 stars","Reviewed in the United States on March 5, 2022","JRaab",41
"Works great!","Easy to set up. Just plug it into an hdmi source, the wall, and sync the remote. Takes longer to sign into the apps I buy than it is to set up the fire stick.","5.0 out of 5 stars","Reviewed in the United States on May 18, 2022","Amazon Customer",41
"Great for Cord Cutters","We finally decided to cut the cord. The Fire TV interface combines the controls for all our ala carte streaming services with a simple voice control interface. Should have done this years ago.","5.0 out of 5 stars","Reviewed in the United States on February 4, 2022","Bruce E",41
"Easy to set up and use","We had the original Firestick and it finally died. I received this new 4K firestick one day after ordering and the set up was easy and the remote works great on my TV.","5.0 out of 5 stars","Reviewed in the United States on June 3, 2022","Paul Hartman",42
"Fast","The new 4K Firestick is much faster than it's predecessor. There is no delay when opening or closing app as was the case with the earlier versions. Very happy with this purchase.","5.0 out of 5 stars","Reviewed in the United States on March 13, 2022","TexasTech",42
"Fite Stick 4K Steaming","Thus FireStick was rather easy to install. Using the remote is convenient allowing toggling between cable and Amazon Prime Video. It allows for searching of available movies. Having the FireStick has saved me monthly charges on cable services","5.0 out of 5 stars","Reviewed in the United States on December 28, 2021","Stacey Hawkins",42
"Amazing!","Finally cut the cable and I am so happy I did! I have everything I need with the firestick and the whole ""ask alexa"" feature is more than I expected. My boyfriend set it up and 3 days later texted me that he got one for his TV. And the picture quality is unbelievable! Definitely recommend.","5.0 out of 5 stars","Reviewed in the United States on February 28, 2022","Connie S Wilkerson",42
"FITZ A HELPFUL AGENT — helped me & IS Excellence learn how to USE THE FIRESTICK","I LOVE AMAZON ! FITZ HELPED ME figure this out & HOW TO CONNECT THE FIRE STICK ITS SO AWESOME THANK YOU “ FITZ “ the REP FROM AMAZON! He’s ONE OF THE BEST WHOSE PATIENCE AND KINDNESS MADE ME HAPPY !!!","5.0 out of 5 stars","Reviewed in the United States on January 22, 2022","Diane LANGLEY",42
"I love this <U+0001F44D> Drop the cable","Love this product y’all. Watch all your favorite tv channels + Movies without the big bills of the cable and satellite company’s. Keep your money and thank me later<U+0001F60A>","5.0 out of 5 stars","Reviewed in the United States on June 17, 2022","Jerry Griffin Turvaville Jr",42
"Great streaming device","I personally think this is the best streaming device on the market for the price. Easy and fast pairing so that you only need one remote to control everything.","5.0 out of 5 stars","Reviewed in the United States on May 27, 2022","D.L.",42
"Love it. Works great and easy to install.","I bought it to replace my Fire Cube. I had the cube for a long time and it finally broke. This works just as good as the cube and was a lot cheaper.","5.0 out of 5 stars","Reviewed in the United States on June 8, 2022","Amazon Customer",42
"haha ...no more cable needed!!!","I like this product. I am sometimes a little upset because it is sometimes offered at a sale price that makes me feel like an idiot for buying it at full price. But...otherwise ...no complaints!","5.0 out of 5 stars","Reviewed in the United States on January 11, 2022","spenc and pat meier",42
"easy to set up","It was so easy to set up. I used it at my beach house and was able to use my netflix, amazon etc that I had never before been able to do. What a convenience.","5.0 out of 5 stars","Reviewed in the United States on June 13, 2022","cbc",42
"Easy install and solved and perfected previous problems","I had problems with the volume etc from an older version of firestick, maybe three years old. This newer one solved all of the volume problems connecting to the speakers and I see it has boosted the internet connection with apps. Very, very, happy! Thank you firestick.","5.0 out of 5 stars","Reviewed in the United States on May 3, 2022","Kathleen Parra",43
"Worth the money","I have gone a long time using a Roku and since losing my remote and decided to switch to the fire stick. So much easier to use, all my channels/apps in one place. It’s nice!","5.0 out of 5 stars","Reviewed in the United States on April 20, 2022","Charlie",43
"Amazing Media Player","Quick and easy installation and has lots of options on Apps to download. Great media player love the speed and ease of use.Highly recommend over any other media players in the market.","5.0 out of 5 stars","Reviewed in the United States on December 1, 2021","GSH",43
"Best gift for the loved one","I have a big smart TV with preloaded apps. But Fire TV added flavor to it and we are able stream lot of other streaming services. I love this product as it’s very easy to install and ready to use immediately!","5.0 out of 5 stars","Reviewed in the United States on February 11, 2022","SUNDARRAJ PITCHUMANI",43
"easy to useeasy to","easy to install, work very well on my smart tv which use to drop my wifi now with fire tv stick has not dropped wifi once. Great piece of equipment.","5.0 out of 5 stars","Reviewed in the United States on June 12, 2022","Stanley Sellers",43
"Very good streaming stick","Was looking for streaming stick and fire stick had a good deal!With 4K monitor or tv, streaming quility is very satisfying!!Works perfect with youtube, amazon prime, netflix and disney plus!With discount deals, It's best choice for me if the have to buy it again","5.0 out of 5 stars","Reviewed in the United States on April 10, 2022","Hansun",43
"Firestick added a guide button YEA!","Love the firestick. Love the guide for my dad but cannot keep Sling synced so it is visible in guide to see shows. Every day I have to force stop, clear cache and resync sometimes twice. Would love if you could fix that. Amazon music is great. Love that you added a guide button on the remote. Good job on that one.","5.0 out of 5 stars","Reviewed in the United States on June 21, 2022","Terri",43
"More features than I thought","As the headline suggests; This product has more features than I initially thought. With mobile games, free tv, and even utility apps for non entertainment purposes available. The set up took 15 minutes. Including signing into all of my accounts. It was a streamlined process. Alexa turned out to be super useful and I'm glad I chose the FireTV over the other options 100%","5.0 out of 5 stars","Reviewed in the United States on January 19, 2022","Meii",43
"Excellent and work well","I had Roku tv earlier. I would say UI was very simple. However, fire TV stick is better than Roku. Two most important features which I love- Voice command and same remote can control TV aswell . This means, you don’t need use your actual TV remote to on/off","5.0 out of 5 stars","Reviewed in the United States on March 3, 2022","SSingh",43
"Excellent","Fire stick has been a game changer. Easy to install and simple to navigate. I was ready to get another television because it was difficult to access apps but Fire Stick solved all my issues.","5.0 out of 5 stars","Reviewed in the United States on January 1, 2022","Martin",43
"Love this device","It allows us to have UTube live on our not so smart tv!! The best thing invented. Of course you have to pay for Utube but much cheaper then cable.","5.0 out of 5 stars","Reviewed in the United States on June 18, 2022","cj",44
"It was free","My wife won it a company party and I use it for viewing on the outside TV.","5.0 out of 5 stars","Reviewed in the United States on February 6, 2022","Amazon Customer",44
"it works very good as advertised","I like the functionality and all the features. I would like to add to the remote an input option so I can change from different input sources. This way I do not have to use two remotes.\ or more.","5.0 out of 5 stars","Reviewed in the United States on June 24, 2022","Morris Kletzel",44
"Upgrade","This was purchased as an upgrade from the original, so far I think it was a good idea to upgrade if for no other reason than to get the new remote but I think it's a little faster too.","5.0 out of 5 stars","Reviewed in the United States on January 28, 2022","JimL",44
"Reliable as always","I have 7 or 8 of them now, they are durable and reliable. We got so used to them, I think we'd be lost without them. Even purchased one on black Friday to sit around as a backup if needed. I know, but it was a great price.","5.0 out of 5 stars","Reviewed in the United States on December 24, 2021","uleinc",44
"Great update","Had the previous firetv, always slow and did not finish a movie without a pause. Works great with my 4K tv and plays smoothly. No more stop and start.Thanks for the update.","5.0 out of 5 stars","Reviewed in the United States on February 16, 2022","pat",44
"Great","Its Amazon TV, whats not to like? Had a sound issue during setup. ""Best available "" mean the best the Firestick can provude, not the best your TV can handle.","5.0 out of 5 stars","Reviewed in the United States on May 14, 2022","David Harris",44
"Easy to set up","Dumped cable and switched to Utube TV. The fire stick worked great. Easy to set up and it has volume control and on/off control. Saved $100 a month by changing. Recommended","5.0 out of 5 stars","Reviewed in the United States on May 1, 2022","William Robles",44
"Fire Stick is the Bomb","I use this device every day for my entertainment needs. It has become indispensable, mainly for TV watching. I am using the voice command feature much more now as I become more comfortable with it.","5.0 out of 5 stars","Reviewed in the United States on June 22, 2022","Dennis Collier",44
